Timestamp,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
35931,-0.79,1.89,-0.49,-0.39,0.15,-0.94,28.66,43.96,-59.71
35960,-0.79,2.01,-0.43,-0.39,0.14,-0.94,28.66,43.51,-60.17
35989,-0.79,1.95,-0.3,-0.39,0.15,-0.93,27.91,43.51,-59.41
36017,-0.73,1.95,-0.37,-0.38,0.15,-0.94,28.06,42.31,-60.62
36049,-0.73,1.77,-0.43,-0.39,0.15,-0.94,28.51,42.31,-60.02
36077,-0.79,2.01,-0.37,-0.4,0.15,-0.95,26.11,42.91,-60.17
36106,-0.79,1.95,-0.37,-0.39,0.15,-0.95,28.21,43.21,-59.71
36134,-0.79,2.07,-0.37,-0.39,0.16,-0.94,28.66,44.26,-60.17
36163,-0.79,2.01,-0.37,-0.39,0.14,-0.94,28.66,43.51,-60.47
36191,-0.79,2.01,-0.43,-0.39,0.14,-0.94,29.11,43.36,-60.02
36220,-0.85,2.01,-0.43,-0.39,0.15,-0.93,28.21,44.26,-61.22
36248,-0.73,1.95,-0.37,-0.39,0.15,-0.94,30.01,42.91,-59.71
36280,-0.73,1.89,-0.43,-0.4,0.15,-0.94,28.21,43.96,-60.47
36309,-0.85,2.01,-0.37,-0.39,0.15,-0.96,28.96,43.21,-58.66
36337,-0.73,2.07,-0.43,-0.39,0.14,-0.95,27.61,42.91,-60.17
36366,-0.79,1.95,-0.43,-0.4,0.15,-0.94,29.11,43.06,-61.67
36394,-0.79,2.01,-0.43,-0.39,0.15,-0.95,28.51,42.31,-60.32
36423,-0.79,2.01,-0.37,-0.39,0.16,-0.95,27.31,43.81,-60.02
36451,-0.79,1.95,-0.43,-0.39,0.15,-0.95,30.01,43.21,-60.47
36483,-0.73,2.01,-0.37,-0.39,0.15,-0.94,26.71,43.06,-60.32
36511,-0.79,1.89,-0.37,-0.38,0.14,-0.93,27.91,42.16,-60.17
36540,-0.79,2.07,-0.37,-0.39,0.15,-0.94,28.81,41.56,-59.56
36568,-0.79,1.83,-0.43,-0.39,0.15,-0.94,29.71,43.96,-61.22
36597,-0.85,2.07,-0.43,-0.4,0.16,-0.94,28.51,43.36,-61.37
36625,-0.79,1.95,-0.43,-0.4,0.15,-0.95,28.06,43.06,-59.56
36654,-0.73,1.89,-0.43,-0.38,0.15,-0.94,28.51,43.81,-60.62
36682,-0.79,1.95,-0.37,-0.38,0.15,-0.95,28.06,43.06,-61.07
36714,-0.73,1.89,-0.43,-0.39,0.15,-0.95,27.76,43.81,-59.26
36743,-0.79,2.01,-0.43,-0.39,0.15,-0.93,28.96,42.91,-60.77
36771,-0.79,1.95,-0.43,-0.39,0.14,-0.93,28.21,43.21,-59.71
36800,-0.79,2.01,-0.37,-0.39,0.15,-0.94,29.71,43.21,-60.17
36828,-0.79,1.89,-0.43,-0.4,0.15,-0.94,28.21,42.91,-59.71
36857,-0.79,2.13,-0.37,-0.39,0.15,-0.94,27.91,43.21,-59.41
36885,-0.79,2.01,-0.37,-0.4,0.15,-0.94,28.21,45.01,-60.47
36917,-0.79,2.07,-0.3,-0.39,0.14,-0.94,27.31,43.36,-60.32
36946,-0.79,2.01,-0.43,-0.39,0.16,-0.93,28.51,43.81,-59.56
36974,-0.79,1.89,-0.43,-0.39,0.15,-0.94,27.91,43.21,-59.71
37003,-0.79,2.01,-0.37,-0.39,0.15,-0.94,28.81,42.61,-60.02
37031,-0.85,2.01,-0.37,-0.39,0.15,-0.93,28.21,45.01,-59.41
37059,-0.73,1.95,-0.43,-0.39,0.16,-0.95,28.21,43.51,-60.17
37088,-0.79,2.01,-0.3,-0.39,0.15,-0.94,27.76,42.31,-60.62
37116,-0.79,1.95,-0.3,-0.38,0.15,-0.92,28.51,43.36,-59.56
37148,-0.73,1.95,-0.37,-0.39,0.15,-0.93,29.41,42.46,-60.47
37177,-0.73,1.95,-0.43,-0.39,0.15,-0.95,29.86,43.81,-60.62
37205,-0.85,1.95,-0.43,-0.39,0.15,-0.94,28.81,43.36,-61.07
37234,-0.79,1.95,-0.43,-0.39,0.15,-0.95,28.06,43.36,-60.32
37268,-0.85,1.95,-0.43,-0.38,0.15,-0.94,29.11,43.06,-60.32
37297,-0.79,1.95,-0.43,-0.39,0.15,-0.95,27.91,44.26,-59.11
37325,-0.79,2.01,-0.37,-0.4,0.15,-0.94,28.51,44.11,-59.26
37357,-0.79,2.01,-0.43,-0.39,0.16,-0.94,27.76,42.61,-59.56
37386,-0.79,1.89,-0.43,-0.39,0.15,-0.95,27.76,44.11,-59.56
37414,-0.73,2.01,-0.43,-0.38,0.15,-0.94,28.51,43.06,-59.56
37443,-0.79,1.95,-0.43,-0.39,0.14,-0.95,28.66,43.21,-59.71
37471,-0.79,2.01,-0.43,-0.39,0.14,-0.94,26.26,44.41,-60.32
37500,-0.73,1.95,-0.49,-0.39,0.16,-0.93,29.11,43.36,-62.42
37528,-0.73,2.07,-0.49,-0.38,0.15,-0.95,28.21,43.21,-59.71
37557,-0.79,1.89,-0.43,-0.39,0.16,-0.95,28.66,44.71,-60.47
37589,-0.73,1.95,-0.49,-0.38,0.15,-0.94,27.76,44.86,-60.02
37617,-0.79,2.01,-0.37,-0.39,0.15,-0.95,28.21,42.46,-59.41
37646,-0.79,1.95,-0.43,-0.39,0.14,-0.95,27.31,43.81,-58.51
37674,-0.79,2.01,-0.37,-0.39,0.15,-0.94,28.96,44.26,-58.66
37703,-0.79,1.95,-0.37,-0.39,0.15,-0.94,27.91,43.21,-59.41
37731,-0.79,2.13,-0.37,-0.39,0.15,-0.94,27.31,42.61,-59.26
