Timestamp,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
14574,-0.0149,-0.0341,0.0074,-0.17871094,-0.20214844,-0.97753906,618.42,408.9,-208.43
14603,-0.0085,-0.0341,0.0053,-0.18261719,-0.19580078,-0.97998047,609.56,407.65,-209.68
14614,-0.0106,-0.0341,0.0085,-0.16992188,-0.20605469,-0.98974609,624.36,400.92,-198.14
14643,-0.0149,-0.0404,0.0128,-0.17675781,-0.19824219,-0.98535156,615.61,399.42,-206.06
14654,-0.0149,-0.0351,0.0096,-0.17822266,-0.203125,-0.96386719,622.54,416.14,-196.25
14683,-0.0202,-0.0298,0.0032,-0.17871094,-0.19775391,-0.97949219,624.32,404.95,-200.66
14694,-0.0202,-0.0309,0.0032,-0.17626953,-0.19238281,-0.98242188,602.02,401.45,-195.14
14723,-0.0138,-0.0341,0.0064,-0.17871094,-0.20361328,-0.98388672,591.54,405.77,-194.83
14734,-0.0181,-0.0341,0.0064,-0.17675781,-0.20019531,-0.98535156,613.67,414.89,-197.5
14763,-0.0138,-0.0394,0.0053,-0.18164062,-0.20556641,-0.98291016,624.11,410.65,-195.13
14774,-0.0085,-0.0341,0.0053,-0.17529297,-0.203125,-0.97216797,616.74,417.24,-206.78
14803,-0.0277,-0.0362,0.0053,-0.17919922,-0.203125,-0.99169922,618.28,406.59,-196.52
14814,-0.0234,-0.0341,0.0085,-0.18554688,-0.19921875,-0.97900391,620.69,427.47,-187.83
14843,-0.0138,-0.0383,0.0064,-0.18945312,-0.20166016,-0.98388672,618.14,413.47,-196.28
14854,-0.0192,-0.0404,0.0085,-0.17480469,-0.1953125,-0.9765625,618.36,402.46,-196.67
14937,-0.0117,-0.0309,0.0074,-0.17626953,-0.19726562,-0.99609375,607.77,409.64,-193.6
14947,-0.0106,-0.0341,0.0096,-0.18261719,-0.20068359,-0.9765625,622.78,402.47,-194.07
14976,-0.0202,-0.0309,0.0053,-0.17675781,-0.19775391,-0.99316406,606.39,417.34,-209.3
14987,-0.0181,-0.0309,0.0043,-0.18115234,-0.19824219,-0.99511719,610.89,406.63,-199.08
15016,-0.0074,-0.0298,0.0064,-0.18017578,-0.19970703,-0.98535156,621.29,407.76,-200.52
15027,-0.0117,-0.0309,0.0064,-0.17871094,-0.20068359,-0.98583984,600.36,416.32,-202.58
15056,-0.0128,-0.0351,0.0053,-0.17675781,-0.20703125,-0.98242188,604.86,406.94,-193.65
15067,-0.0149,-0.0341,0.0043,-0.18164062,-0.19970703,-0.98046875,622.49,416.24,-193.58
15096,-0.017,-0.0341,0.0053,-0.17822266,-0.20214844,-0.99560547,613.98,405.01,-204.51
15107,-0.017,-0.0341,0.0032,-0.17675781,-0.19970703,-0.98339844,621.43,400.88,-200.76
15136,-0.016,-0.0341,0.0064,-0.17871094,-0.19824219,-0.98779297,627.13,410.5,-197.84
15147,-0.0181,-0.0341,0.0021,-0.17919922,-0.19189453,-0.97998047,610.98,402.5,-199.22
15176,-0.0149,-0.0351,0.0053,-0.17138672,-0.20898438,-0.97998047,609.34,421.27,-213.2
15187,-0.0138,-0.0362,0.0043,-0.17089844,-0.19970703,-0.97705078,613.72,414.79,-200.16
15216,-0.017,-0.0351,0.0053,-0.18164062,-0.19775391,-0.96240234,610.71,413.61,-196.17
15227,-0.016,-0.0351,0.0053,-0.18212891,-0.19726562,-0.9765625,610.94,397.34,-190.08
15256,-0.017,-0.0341,0.0074,-0.17871094,-0.20751953,-0.97412109,621.2,407.96,-195.18
15267,-0.017,-0.0351,0.0074,-0.17285156,-0.20458984,-0.98291016,609.56,398.45,-198.01
15296,-0.017,-0.0372,0.0085,-0.18066406,-0.19921875,-0.97314453,611.16,396.85,-203.42
15307,-0.0085,-0.0351,0.0085,-0.17285156,-0.19726562,-0.98144531,615.19,406.89,-189.81
15336,-0.017,-0.0341,0.0064,-0.17626953,-0.19482422,-0.98925781,609.51,407.75,-207.01
15347,-0.0106,-0.0341,0.0085,-0.18066406,-0.19921875,-0.97998047,611.16,396.85,-203.42
15376,-0.0138,-0.0341,0.0053,-0.18261719,-0.1953125,-0.99169922,622.98,402.03,-206.08
15387,-0.0138,-0.0309,0.0074,-0.17480469,-0.1953125,-0.97607422,634.56,410.36,-197.96
15416,-0.017,-0.0362,0.0064,-0.1796875,-0.20800781,-0.97314453,622.69,415.8,-205.59
15427,-0.0149,-0.0319,0.0074,-0.17480469,-0.19824219,-0.98291016,609.31,398.99,-183.34
15456,-0.0138,-0.0351,0.0053,-0.18066406,-0.19726562,-0.98876953,616.68,401.6,-183.35
15467,-0.0128,-0.0341,0.0085,-0.18554688,-0.19970703,-1.00195312,609.45,401.3,-195.25
15555,-0.0181,-0.0341,0.0074,-0.17773438,-0.19677734,-0.99072266,624.07,410.75,-192.46
15565,-0.0181,-0.0351,0.0085,-0.18017578,-0.20605469,-0.99121094,615.28,402.76,-189.95
15594,-0.0138,-0.0372,0.0043,-0.18212891,-0.20458984,-0.98583984,630.12,406.46,-194.03
15605,-0.0149,-0.0362,0.0064,-0.17333984,-0.20361328,-0.98242188,606.12,411.34,-185.52
15634,-0.016,-0.0351,0.0074,-0.17626953,-0.20166016,-0.98291016,610.95,409.14,-205.65
15645,-0.0149,-0.0341,0.0085,-0.18652344,-0.20117188,-0.98730469,617.97,416.47,-189.51
15674,-0.017,-0.0362,0.0043,-0.18164062,-0.20361328,-0.98828125,610.96,406.49,-203.08
15685,-0.0138,-0.0341,0.0096,-0.17285156,-0.19970703,-0.97753906,615.1,407.09,-184.47
15714,-0.0149,-0.0351,0.0085,-0.1796875,-0.20117188,-0.98730469,615.42,406.4,-203.15
15725,-0.0128,-0.0341,0.0085,-0.17382812,-0.19775391,-0.98925781,621.3,401.17,-192.76
15754,-0.0149,-0.0341,0.0074,-0.17480469,-0.19824219,-0.97363281,614.11,400.78,-207.32
15765,-0.0149,-0.0341,0.0085,-0.17773438,-0.19677734,-0.96923828,613.94,394.58,-188.89
15794,-0.016,0.0032,-0.0138,-0.18066406,-0.20996094,-0.99072266,624.26,407.71,-200.57
15805,-0.066,-0.0085,-0.0011,-0.17089844,-0.20996094,-0.99755859,622.72,409.16,-199.16
15834,0.0021,-0.0255,0.0138,-0.18945312,-0.17773438,-0.99853516,616.69,414.73,-200.21
15845,-0.0372,-0.0553,0.0096,-0.18017578,-0.18847656,-0.99316406,618.29,413.13,-205.62
15874,0.0362,-0.0564,0.017,-0.19287109,-0.18066406,-0.98242188,627.49,400.52,-207.53
15885,0.0085,-0.0532,0.0074,-0.1875,-0.18945312,-0.98486328,613.67,410.95,-192.3
15914,0.0149,-0.0117,0,-0.18945312,-0.19482422,-0.98046875,615.06,416.38,-193.47
15925,-0.0096,-0.0223,-0.0021,-0.17919922,-0.20361328,-0.98388672,611.05,397.1,-196.75
15954,-0.0415,-0.0319,0.017,-0.18554688,-0.19091797,-0.98681641,606.35,414.78,-204.06
15965,-0.0521,-0.0415,0.0117,-0.18212891,-0.19775391,-0.984375,615.41,409.06,-205.72
15994,-0.0085,-0.0234,0.0043,-0.18554688,-0.19140625,-0.99511719,618.03,416.32,-193.51
16005,-0.0192,-0.0287,0.0043,-0.18359375,-0.19287109,-0.98291016,615.45,408.96,-208.39
16034,0.0128,-0.0351,0.0064,-0.18457031,-0.20166016,-0.9765625,602.07,401.35,-197.8
16045,-0.0011,-0.0394,0.0074,-0.18261719,-0.19775391,-0.97949219,600.2,416.66,-193.24
16074,-0.0234,-0.0372,0.0106,-0.18212891,-0.20019531,-0.98291016,623.07,392.64,-199.75
16074,-0.0234,-0.0372,0.0106,-0.18212891,-0.20019531,-0.98291016,607.92,406.69,-199.03
16155,-0.0117,-0.0383,0.0106,-0.18457031,-0.19482422,-0.99365234,621.09,417.4,-200.18
16165,-0.0043,-0.0458,0.0096,-0.17578125,-0.19384766,-0.97900391,614.9,416.72,-184.13
16189,-0.0011,-0.0404,0.0053,-0.17871094,-0.20068359,-0.98535156,616.64,414.83,-197.54
16209,-0.0138,-0.0341,0.0085,-0.17724609,-0.19775391,-0.98876953,604.75,416.38,-198.65
16229,-0.017,-0.0277,0.0043,-0.17773438,-0.20166016,-0.98046875,624.27,410.31,-204.47
16249,-0.0202,-0.0298,0.0064,-0.17822266,-0.19384766,-0.99169922,618.31,399.95,-190.09
16269,-0.0266,-0.0351,0.0106,-0.19091797,-0.20214844,-0.98486328,606.71,394.28,-200.78
16289,-0.016,-0.0351,0.0074,-0.18115234,-0.1953125,-0.99316406,615.46,397.11,-194.15
16309,-0.0074,-0.0319,0.0064,-0.17578125,-0.20556641,-0.98486328,606.64,401.02,-204.54
16329,-0.0053,-0.0341,0.0074,-0.18066406,-0.19775391,-0.99365234,604.94,402.81,-193.8
16349,-0.016,-0.0341,0.0064,-0.17919922,-0.19921875,-0.99365234,613.83,405.35,-195.17
16369,-0.0128,-0.0351,0.0085,-0.17822266,-0.20019531,-0.98339844,245.89,770.42,165.27
16389,-0.0245,-0.0362,0.0085,-0.17773438,-0.20361328,-0.98242188,616.7,408.14,-192.45
16409,-0.0202,-0.0341,0.0085,-0.17285156,-0.18359375,-0.99902344,607.79,416.18,-202.69
16429,-0.0149,-0.0298,0.0053,-0.18945312,-0.20458984,-0.97900391,608.06,399.81,-199.28
16449,-0.0106,-0.0319,0.0074,-0.16796875,-0.19628906,-0.99804688,625.72,412.99,-205.73
16469,-0.0138,-0.0404,0.0085,-0.17919922,-0.19287109,-0.99755859,624.39,404.81,-204.67
16489,-0.0085,-0.0372,0.0085,-0.17919922,-0.19580078,-0.97509766,615.19,402.96,-184.61
16509,-0.0138,-0.0362,0.0085,-0.17333984,-0.19775391,-0.99121094,625.75,406.35,-199.3
16529,-0.0181,-0.0309,0.0085,-0.18066406,-0.20166016,-0.97753906,604.81,413.63,-198.74
16549,-0.0181,-0.0319,0.0085,-0.18066406,-0.20068359,-0.98974609,606.29,408.34,-192.29
16569,-0.016,-0.0309,0.0074,-0.18066406,-0.20849609,-0.97949219,624.26,398.51,-188.9
16589,-0.0106,-0.0394,0.0106,-0.18017578,-0.19140625,-0.97558594,618.34,413.03,-208.29
16609,-0.0117,-0.0372,0.0074,-0.18603516,-0.20068359,-0.98632812,604.99,402.72,-196.47
16629,-0.0096,-0.0341,0.0096,-0.17285156,-0.19287109,-0.98046875,630.02,413.24,-196.46
16649,-0.0149,-0.0309,0.0064,-0.17382812,-0.203125,-0.98144531,613.8,410.66,-200.31
16669,-0.0181,-0.0362,0.0085,-0.1796875,-0.20703125,-0.97607422,622.72,409.16,-199.16
16689,-0.017,-0.0341,0.0085,-0.18408203,-0.20507812,-0.99365234,621.54,400.64,-207.44
16767,-0.0149,-0.0319,0.0064,-0.1875,-0.20458984,-0.98388672,598.81,415.17,-197.27
16777,-0.0106,-0.0362,0.0064,-0.17724609,-0.20117188,-0.98974609,618.23,406.69,-193.85
16805,-0.0149,-0.0372,0.0074,-0.18212891,-0.20019531,-0.97851562,624.27,405.05,-197.99
16816,-0.016,-0.0362,0.0096,-0.18457031,-0.20605469,-0.98486328,615.22,416.04,-202.81
16845,-0.0149,-0.0341,0.0074,-0.18310547,-0.19287109,-0.98681641,615.31,406.65,-196.48
16856,-0.0138,-0.0319,0.0064,-0.18261719,-0.19628906,-0.98339844,621.3,414.3,-209.62
16885,-0.1437,0.066,0.0202,-0.21435547,-0.24267578,-0.88378906,606.64,401.02,-204.54
16896,-0.1458,0.132,0.0394,-0.19726562,-0.18994141,-0.97363281,622.51,422.78,-202.68
16925,-1.0951,-0.1373,0.1107,-0.19677734,-0.29833984,-1.08251953,623.14,401.69,-215.42
16936,-0.4959,-0.0053,0.0532,-0.2265625,-0.23681641,-1.046875,618.37,397.2,-190.19
16965,0.1479,-0.0234,0.067,-0.15136719,-0.12792969,-1.02685547,617.27,393.74,-210.28
16976,0.0766,-0.0447,-0.0032,-0.17089844,-0.16259766,-0.99511719,615.31,406.65,-196.48
17005,0.331,-0.0702,-0.0372,-0.19384766,-0.16503906,-0.953125,610.65,407.17,-184.4
17016,0.331,-0.0234,-0.0468,-0.20166016,-0.18115234,-0.95556641,613.8,410.66,-200.31
17045,0.0255,-0.016,-0.0202,-0.20068359,-0.20361328,-0.99462891,625.61,409.3,-193.87
17056,-0.066,-0.0745,-0.0894,-0.18457031,-0.21728516,-0.99609375,629.91,418.75,-196.26
17085,0.0234,-0.0596,-0.1479,-0.24951172,-0.29492188,-0.96630859,606.33,410.9,-197.53
17096,-0.2246,-0.1862,0.4108,-0.11474609,0.05029297,-0.83642578,621.3,401.17,-192.76
17125,-0.3203,-0.0692,-0.0894,-0.19238281,-0.18603516,-0.99023438,609.67,398.21,-204.69
17136,-0.0287,-0.0053,-0.1458,-0.23876953,-0.13964844,-1.01367188,613.8,410.66,-200.31
17165,0.0968,0.248,-0.48,-0.19140625,-0.21337891,-1.07519531,609.5,401.21,-197.92
17176,0.0862,0.2841,-0.4268,-0.19580078,-0.23583984,-1.07470703,615.4,399.86,-194.05
17205,-0.1703,0.3257,0.0266,-0.26513672,-0.12597656,-0.99951172,632.05,397.59,-210.36
17205,-0.1703,0.3257,0.0266,-0.26513672,-0.12597656,-0.99951172,621.34,401.07,-195.43
17250,0.0021,0.4214,-0.1107,-0.23730469,-0.20751953,-1.03759766,618.41,402.36,-199.34
17260,0.017,0.5066,-0.1405,-0.27392578,-0.22851562,-1.0390625,607.73,418.93,-202.6
17288,0.2097,0.5268,-0.2937,-0.29003906,-0.13964844,-1.03222656,613.83,405.35,-195.17
17299,0.1469,0.5843,-0.3459,-0.34423828,-0.16357422,-0.99365234,613.75,401.56,-185.97
17376,0.415,0.5013,-0.5183,-0.47412109,-0.16650391,-0.91357422,624.22,407.8,-197.9
17386,0.0809,0.5268,-0.1149,-0.33300781,-0.32177734,-1.06933594,610.8,406.83,-193.74
17410,-0.7173,0.3086,-0.1543,-0.38525391,-0.078125,-1.03222656,622.53,418.79,-198.82
17430,-0.4108,0.0192,-0.4193,-0.41210938,-0.06933594,-1.04199219,621.34,401.07,-195.43
17450,-0.2309,-0.4459,-0.5534,-0.38916016,-0.16064453,-0.91748047,611.04,399.75,-199.32
17470,0.1064,-0.6385,-0.5236,-0.35009766,-0.26220703,-1.01708984,624.27,401.12,-192.8
17490,0.6875,-0.6545,-0.5513,-0.38476562,-0.12597656,-1.04345703,613.71,410.85,-194.97
17510,1.5516,-0.8918,-0.5385,-0.38720703,-0.03515625,-1.04833984,638.99,407.71,-192.78
17530,1.3803,-0.9131,-0.4991,-0.28955078,0.12646484,-0.75292969,609.31,408.19,-195
17550,-2.2476,-0.4821,-0.531,-0.29248047,-0.19628906,-0.90332031,598.95,408.29,-197.51
17570,-2.303,-0.4204,-0.1777,-0.27880859,-0.1953125,-1.05664062,636.2,402.12,-196.94
17590,-1.9912,-0.8631,0.0149,-0.32910156,-0.21044922,-1.08007812,618.38,399.8,-194.1
17610,-1.5389,-0.878,0.282,-0.30761719,-0.09814453,-1.09179688,624.22,407.8,-197.9
17630,-0.8439,-1.0993,0.2107,-0.31542969,0.01708984,-0.99414062,601.9,414.87,-203.99
17650,-0.0468,-1.0376,-0.0543,-0.25244141,0.171875,-0.88818359,618.38,399.8,-194.1
17670,-0.331,-0.7822,-0.5736,-0.22949219,0.08251953,-0.97753906,618.36,402.46,-196.67
17690,-0.248,-0.8226,-0.6843,-0.23828125,-0.01757812,-1.06542969,631.61,405.1,-192.77
17710,0.1639,-1.0376,-0.6907,-0.21826172,0.04199219,-1.109375,618.43,397.05,-194.19
17730,0.5172,-1.1025,-0.7066,-0.24121094,0.09472656,-1.00683594,600.89,392.82,-206.08
17750,0.63,-0.9833,-0.7843,-0.19091797,0.14208984,-0.93164062,609.41,405.34,-197.77
17770,0.3193,-0.8152,-1.0344,-0.17626953,0.07226562,-1.0078125,610.84,409.39,-198.98
17790,0.6077,-0.8354,-1.2196,-0.17480469,0.05371094,-0.94140625,618.59,396.71,-203.53
17810,0.2416,-0.7205,-1.3888,-0.17431641,-0.04150391,-1.05957031,609.15,408.53,-185.66
17830,0.6609,-0.8854,-1.3441,-0.17626953,-0.04150391,-1.08740234,613.92,405.15,-200.51
17850,1.0078,-1.0217,-1.3015,-0.15332031,0.02832031,-0.92480469,610.29,426.34,-186.39
17870,0.5896,-0.8503,-1.3803,-0.11914062,0.00634766,-0.90966797,634.56,410.36,-197.96
17890,-0.1064,-0.7716,-1.2909,-0.10546875,-0.07958984,-0.94873047,624.26,407.71,-200.57
17910,-0.2831,-0.8631,-1.0983,-0.09228516,-0.06640625,-0.97021484,615.45,399.76,-196.72
